timestamp;latitude;longitude;weather_id;weather_main;weather_description;weather_icon;base;temp;feels_like;temp_min;temp_max;pressure;humidity;sea_level;grnd_level;visibility;wind_speed;wind_deg;wind_gust;clouds_all;dt;sys_type;sys_id;country;sunrise;sunset;timezone;city_id;city_name;cod
2024-08-12T20:19:43.375668;515.074;-0.1278;800;Clear;clear sky;01n;stations;18.03;17.77;16.17;18.88;1010;72;1010;1005;10000;3.6;240;;9;1723514589;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T20:24:40.832393;515.074;-0.1278;800;Clear;clear sky;01n;stations;18.03;17.77;16.17;18.88;1010;72;1010;1005;10000;3.6;240;;9;1723514589;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T20:29:40.819651;515.072;-0.1275;800;Clear;clear sky;01n;stations;17.81;17.55;16.12;18.4;1010;73;1010;1005;10000;0.89;245;1.34;9;1723515233;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T20:34:40.841032;515.072;-0.1276;800;Clear;clear sky;01n;stations;17.66;17.36;16.12;18.88;1010;72;1010;1005;10000;3.6;240;;9;1723515499;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T20:39:40.818885;515.077;-0.128;800;Clear;clear sky;01n;stations;17.66;17.39;16.12;18.88;1010;73;1010;1005;10000;3.6;240;;9;1723515953;2;2075535;GB;1723524207;1723577244;3600;2643743;London;200
2024-08-12T20:44:40.862998;515.077;-0.128;800;Clear;clear sky;01n;stations;17.66;17.39;16.12;18.88;1010;73;1010;1005;10000;3.6;240;;9;1723515953;2;2075535;GB;1723524207;1723577244;3600;2643743;London;200
2024-08-12T20:49:40.840892;515.074;-0.1278;802;Clouds;scattered clouds;03n;stations;17.56;17.28;16.12;18.88;1010;73;1010;1005;10000;3.6;240;;28;1723516227;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T20:54:40.839949;515.142;-0.1327;802;Clouds;scattered clouds;03n;stations;17.26;16.97;16.05;18.18;1010;74;1010;1006;10000;3.6;230;;28;1723516627;2;2075535;GB;1723524207;1723577246;3600;2643743;London;200
2024-08-12T20:59:40.890489;515.074;-0.1278;801;Clouds;few clouds;02n;stations;17.3;17.02;16.12;18.25;1009;74;1009;1005;10000;3.6;230;;11;1723516841;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
2024-08-12T21:04:40.863280;515.072;-0.1276;801;Clouds;few clouds;02n;stations;17.25;16.96;15.57;17.88;1009;74;1009;1005;10000;3.6;230;;11;1723517446;2;2075535;GB;1723524207;1723577243;3600;2643743;London;200
